0,1,2
0.584,0.0,0.0
0.584,0.00599987,0.0
0.584,0.00599987,0.0146
0.584,0.0,0.0146
0.584,0.01199974,0.0
0.584,0.01199974,0.0146
0.584,0.01799961,0.0
0.584,0.01799961,0.0146
0.584,0.02399948,0.0
0.584,0.02399948,0.0146
0.584,0.02999935,0.0
0.584,0.02999935,0.0146
0.584,0.03599922,0.0
0.584,0.03599922,0.0146
0.584,0.04199909,0.0
0.584,0.04199909,0.0146
0.584,0.04799896,0.0
0.584,0.04799896,0.0146
0.584,0.06076089,0.0
0.584,0.06076089,0.0146
0.584,0.07352282,0.0
0.584,0.07352282,0.0146
0.584,0.08628475,0.0
0.584,0.08628475,0.0146
0.584,0.09904668,0.0
0.584,0.09904668,0.0146
0.584,0.111808605,0.0
0.584,0.111808605,0.0146
0.584,0.12457053,0.0
0.584,0.12457053,0.0146
0.584,0.13733247,0.0
0.584,0.13733247,0.0146
0.584,0.15009439,0.0
0.584,0.15009439,0.0146
0.584,0.16285633,0.0
0.584,0.16285633,0.0146
0.584,0.17561826,0.0
0.584,0.17561826,0.0146
0.584,0.18838018,0.0
0.584,0.18838018,0.0146
0.584,0.20114212,0.0
0.584,0.20114212,0.0146
0.584,0.21390404,0.0
0.584,0.21390404,0.0146
0.584,0.22666597,0.0
0.584,0.22666597,0.0146
0.584,0.23942791,0.0
0.584,0.23942791,0.0146
0.584,0.25218984,0.0
0.584,0.25218984,0.0146
0.584,0.26495177,0.0
0.584,0.26495177,0.0146
0.584,0.2777137,0.0
0.584,0.2777137,0.0146
0.584,0.2904756,0.0
0.584,0.2904756,0.0146
0.584,0.30323756,0.0
0.584,0.30323756,0.0146
0.584,0.31599948,0.0
0.584,0.31599948,0.0146
0.584,0.3287614,0.0
0.584,0.3287614,0.0146
0.584,0.34152335,0.0
0.584,0.34152335,0.0146
0.584,0.35428527,0.0
0.584,0.35428527,0.0146
0.584,0.3670472,0.0
0.584,0.3670472,0.0146
0.584,0.37980914,0.0
0.584,0.37980914,0.0146
0.584,0.39257106,0.0
0.584,0.39257106,0.0146
0.584,0.40533298,0.0
0.584,0.40533298,0.0146
0.584,0.4180949,0.0
0.584,0.4180949,0.0146
0.584,0.43085685,0.0
0.584,0.43085685,0.0146
0.584,0.44361877,0.0
0.584,0.44361877,0.0146
0.584,0.4563807,0.0
0.584,0.4563807,0.0146
0.584,0.46914265,0.0
0.584,0.46914265,0.0146
0.584,0.48190457,0.0
0.584,0.48190457,0.0146
0.584,0.4946665,0.0
0.584,0.4946665,0.0146
0.584,0.5074284,0.0
0.584,0.5074284,0.0146
0.584,0.52019036,0.0
0.584,0.52019036,0.0146
0.584,0.5329523,0.0
0.584,0.5329523,0.0146
0.584,0.5457142,0.0
0.584,0.5457142,0.0146
0.584,0.55847615,0.0
0.584,0.55847615,0.0146
0.584,0.57123804,0.0
0.584,0.57123804,0.0146
0.584,0.584,0.0
0.584,0.584,0.0146
